num,logits[2],logits[3],distance(2->3)
1,0.27870944142341614,0.2974247634410858,0.018715322017669678
2,0.3877696990966797,0.41741943359375,0.029649734497070312
3,0.28076207637786865,0.3044692575931549,0.023707181215286255
4,0.38364043831825256,0.4318969249725342,0.048256486654281616
5,0.4389457404613495,0.4651188850402832,0.026173144578933716
6,0.37357795238494873,0.4021046757698059,0.028526723384857178
7,0.41477277874946594,0.460338830947876,0.045566052198410034
8,0.27560457587242126,0.3010272681713104,0.02542269229888916
9,0.3536369800567627,0.3841644823551178,0.030527502298355103
10,0.37195223569869995,0.4087899327278137,0.03683769702911377
11,0.36085832118988037,0.3521694242954254,0.008688896894454956
12,0.40622445940971375,0.46894943714141846,0.06272497773170471
13,0.3707922399044037,0.4048047959804535,0.034012556076049805
14,0.25770771503448486,0.29338058829307556,0.0356728732585907
15,0.2989775538444519,0.30951282382011414,0.010535269975662231
16,0.3474743068218231,0.41176748275756836,0.06429317593574524
17,0.34183910489082336,0.37340399622917175,0.03156489133834839
18,0.3245938718318939,0.3541469871997833,0.029553115367889404
19,0.3557187020778656,0.3946438431739807,0.03892514109611511
20,0.3732035160064697,0.3671383857727051,0.0060651302337646484
21,0.44697025418281555,0.4626794457435608,0.01570919156074524
22,0.3523845672607422,0.36912375688552856,0.016739189624786377
23,0.3406449854373932,0.3730873465538025,0.0324423611164093
24,0.3275499939918518,0.34754034876823425,0.019990354776382446
25,0.3598109185695648,0.37136000394821167,0.01154908537864685
26,0.34713488817214966,0.3450896441936493,0.002045243978500366
27,0.3091869652271271,0.3455306887626648,0.03634372353553772
28,0.27187395095825195,0.27481094002723694,0.0029369890689849854
29,0.3193984627723694,0.33580732345581055,0.016408860683441162
30,0.26040905714035034,0.2936933934688568,0.03328433632850647
31,0.3143606185913086,0.34970754384994507,0.035346925258636475
32,0.2592240273952484,0.3018988370895386,0.04267480969429016
33,0.37820151448249817,0.4277060329914093,0.04950451850891113
34,0.25500190258026123,0.2663201689720154,0.01131826639175415
35,0.3821105360984802,0.41799500584602356,0.035884469747543335
36,0.2642231583595276,0.29288166761398315,0.028658509254455566
37,0.43013906478881836,0.45528367161750793,0.025144606828689575
38,0.33827149868011475,0.3515055179595947,0.01323401927947998
39,0.3145611882209778,0.3531142473220825,0.038553059101104736
40,0.3096153736114502,0.333189457654953,0.023574084043502808
41,0.32730722427368164,0.33682286739349365,0.009515643119812012
42,0.2627038359642029,0.2869897484779358,0.02428591251373291
43,0.39397990703582764,0.3962397873401642,0.002259880304336548
44,0.3797033131122589,0.3933536410331726,0.013650327920913696
45,0.30380141735076904,0.32026809453964233,0.01646667718887329
46,0.36131152510643005,0.3908717930316925,0.02956026792526245
47,0.3365990221500397,0.3820582330226898,0.045459210872650146
48,0.4252929389476776,0.425361305475235,6.836652755737305e-05
49,0.25372424721717834,0.29937028884887695,0.04564604163169861
50,0.4062306880950928,0.4116419553756714,0.005411267280578613
51,0.355767160654068,0.41424718499183655,0.058480024337768555
52,0.406865656375885,0.4089231491088867,0.002057492733001709
53,0.42364218831062317,0.46179094910621643,0.03814876079559326
54,0.3338760733604431,0.3863508701324463,0.052474796772003174
55,0.27348390221595764,0.2718449831008911,0.0016389191150665283
56,0.3415461480617523,0.347622275352478,0.006076127290725708
57,0.4077395796775818,0.421979159116745,0.014239579439163208
58,0.36943739652633667,0.36543944478034973,0.0039979517459869385
59,0.26648712158203125,0.27328580617904663,0.006798684597015381
60,0.3788297474384308,0.4233669638633728,0.04453721642494202
61,0.4253025949001312,0.39380359649658203,0.031498998403549194
62,0.4245073199272156,0.46852239966392517,0.044015079736709595
63,0.367208868265152,0.424441397190094,0.05723252892494202
64,0.30432096123695374,0.2944563627243042,0.009864598512649536
